Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric,93.71,-108.19,-90,top
C2,12pF,C_0402_1005Metric,88.35,-108.2,90,top
C3,4.7uF,C_0603_1608Metric,84.49,-90.525,90,top
C4,.1uF,C_0402_1005Metric,96.09,-102.22,-90,top
C5,.1uF,C_0402_1005Metric,85.03,-100.5,180,top
C6,.1uF,C_0402_1005Metric,89.45,-105.07,0,top
C7,.1uF,C_0402_1005Metric,86.02,-96.81,90,top
C8,1uF,C_0402_1005Metric,85.02,-99.51,180,top
R1,5.1k,R_0402_1005Metric,79.97,-93.67,-90,top
R2,5.1k,R_0402_1005Metric,76.89,-93.67,-90,top
R3,22,R_0402_1005Metric,77.9,-93.68,-90,top
R4,22,R_0402_1005Metric,78.93,-93.68,-90,top
R6,10k,R_0402_1005Metric,95.66,-96.99,90,top
R8,10k,R_0402_1005Metric,343.07,-96.3,-90,top
R9,10k,R_0402_1005Metric,343.07,-94.16,-90,top
U1,ATmega32U4RC-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,90.68375,-99.9925,0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,78.14,-83.92375,180,top
Y1,16Mhz 9pF,Crystal_SMD_3225-4Pin_3.2x2.5mm,91.03,-108.2,180,top
